时间/min,到中心距离/cm,温度/℃,水分浓度/(kg/kg)
25.00000000,1.00000000,32.76603698,2.54453945
25.00000000,1.10000000,32.92968545,2.53858202
25.00000000,1.20000000,33.10951121,2.52736473
25.00000000,1.30000000,33.30556705,2.50742426
25.00000000,1.40000000,33.51785088,2.47391949
25.00000000,1.50000000,33.74628570,2.42061291
25.00000000,1.60000000,33.99069840,2.34010238
25.00000000,1.70000000,34.25079927,2.22427547
25.00000000,1.80000000,34.52616441,2.06479197
25.00000000,1.90000000,34.81622458,1.85310475
25.00000000,2.00000000,35.12026827,1.57873069
30.00000000,0.00000000,33.57535380,2.54999237
30.00000000,0.10000000,33.58321503,2.54998960
30.00000000,0.20000000,33.60680100,2.54997880
30.00000000,0.30000000,33.64611891,2.54995065
30.00000000,0.40000000,33.70118174,2.54988240
30.00000000,0.50000000,33.77200984,2.54972354
30.00000000,0.60000000,33.85863305,2.54936835
30.00000000,0.70000000,33.96109342,2.54860725
30.00000000,0.80000000,34.07944833,2.54704762
30.00000000,0.90000000,34.21377371,2.54399571
30.00000000,1.00000000,34.36416690,2.53829781
30.00000000,1.10000000,34.53074855,2.52815151
30.00000000,1.20000000,34.71366279,2.51091646
30.00000000,1.30000000,34.91307505,2.48297199
30.00000000,1.40000000,35.12916684,2.43967681
30.00000000,1.50000000,35.36212713,2.37547355
30.00000000,1.60000000,35.61214085,2.28413950
30.00000000,1.70000000,35.87937555,2.15911102
30.00000000,1.80000000,36.16396806,1.99368806
30.00000000,1.90000000,36.46601318,1.78067766
30.00000000,2.00000000,36.78555646,1.51023977
