时间/h,全域最大水分浓度/(kg/kg),中心水分浓度/(kg/kg),表面水分浓度/(kg/kg)
53.73333333,0.15418362,0.15418362,0.05301402
53.75000000,0.15416373,0.15416373,0.05301227
53.76666667,0.15414386,0.15414386,0.05301052
53.78333333,0.15412399,0.15412399,0.05300877
53.80000000,0.15410414,0.15410414,0.05300703
53.81666667,0.15408430,0.15408430,0.05300528
53.83333333,0.15406447,0.15406447,0.05300354
53.85000000,0.15404466,0.15404466,0.05300180
53.86666667,0.15402485,0.15402485,0.05300006
53.88333333,0.15400506,0.15400506,0.05299832
53.90000000,0.15398528,0.15398528,0.05299658
53.91666667,0.15396551,0.15396551,0.05299485
53.93333333,0.15394575,0.15394575,0.05299312
53.95000000,0.15392601,0.15392601,0.05299138
53.96666667,0.15390627,0.15390627,0.05298965
53.98333333,0.15388655,0.15388655,0.05298793
54.00000000,0.15386684,0.15386684,0.05298620
54.01666667,0.15384714,0.15384714,0.05298448
54.03333333,0.15382746,0.15382746,0.05298275
54.05000000,0.15380778,0.15380778,0.05298103
54.06666667,0.15378812,0.15378812,0.05297931
54.08333333,0.15376847,0.15376847,0.05297759
54.10000000,0.15374883,0.15374883,0.05297588
54.11666667,0.15372920,0.15372920,0.05297416
54.13333333,0.15370959,0.15370959,0.05297245
54.15000000,0.15368998,0.15368998,0.05297074
54.16666667,0.15367039,0.15367039,0.05296903
54.18333333,0.15365081,0.15365081,0.05296732
54.20000000,0.15363124,0.15363124,0.05296561
54.21666667,0.15361168,0.15361168,0.05296391
54.23333333,0.15359214,0.15359214,0.05296220
54.25000000,0.15357260,0.15357260,0.05296050
54.26666667,0.15355308,0.15355308,0.05295880
54.28333333,0.15353357,0.15353357,0.05295710
54.30000000,0.15351407,0.15351407,0.05295541
54.31666667,0.15349458,0.15349458,0.05295371
54.33333333,0.15347511,0.15347511,0.05295202
54.35000000,0.15345564,0.15345564,0.05295033
54.36666667,0.15343619,0.15343619,0.05294864
54.38333333,0.15341675,0.15341675,0.05294695
54.40000000,0.15339732,0.15339732,0.05294526
54.41666667,0.15337790,0.15337790,0.05294357
54.43333333,0.15335849,0.15335849,0.05294189
54.45000000,0.15333910,0.15333910,0.05294021
54.46666667,0.15331972,0.15331972,0.05293853
54.48333333,0.15330034,0.15330034,0.05293685
54.50000000,0.15328098,0.15328098,0.05293517
54.51666667,0.15326163,0.15326163,0.05293349
54.53333333,0.15324229,0.15324229,0.05293182
54.55000000,0.15322297,0.15322297,0.05293015
54.56666667,0.15320365,0.15320365,0.05292848
54.58333333,0.15318435,0.15318435,0.05292681
54.60000000,0.15316506,0.15316506,0.05292514
54.61666667,0.15314578,0.15314578,0.05292347
54.63333333,0.15312651,0.15312651,0.05292181
54.65000000,0.15310725,0.15310725,0.05292014
54.66666667,0.15308800,0.15308800,0.05291848
54.68333333,0.15306876,0.15306876,0.05291682
54.70000000,0.15304954,0.15304954,0.05291516
54.71666667,0.15303033,0.15303033,0.05291351
54.73333333,0.15301113,0.15301113,0.05291185
54.75000000,0.15299194,0.15299194,0.05291020
54.76666667,0.15297276,0.15297276,0.05290854
54.78333333,0.15295359,0.15295359,0.05290689
54.80000000,0.15293443,0.15293443,0.05290524
54.81666667,0.15291529,0.15291529,0.05290360
54.83333333,0.15289615,0.15289615,0.05290195
54.85000000,0.15287703,0.15287703,0.05290031
54.86666667,0.15285792,0.15285792,0.05289866
54.88333333,0.15283882,0.15283882,0.05289702
54.90000000,0.15281973,0.15281973,0.05289538
54.91666667,0.15280065,0.15280065,0.05289374
54.93333333,0.15278158,0.15278158,0.05289211
54.95000000,0.15276253,0.15276253,0.05289047
54.96666667,0.15274348,0.15274348,0.05288884
54.98333333,0.15272445,0.15272445,0.05288720
55.00000000,0.15270543,0.15270543,0.05288557
55.01666667,0.15268642,0.15268642,0.05288394
55.03333333,0.15266742,0.15266742,0.05288232
55.05000000,0.15264843,0.15264843,0.05288069
55.06666667,0.15262945,0.15262945,0.05287907
55.08333333,0.15261048,0.15261048,0.05287744
55.10000000,0.15259153,0.15259153,0.05287582
55.11666667,0.15257258,0.15257258,0.05287420
55.13333333,0.15255365,0.15255365,0.05287258
55.15000000,0.15253473,0.15253473,0.05287096
55.16666667,0.15251582,0.15251582,0.05286935
55.18333333,0.15249691,0.15249691,0.05286774
55.20000000,0.15247803,0.15247803,0.05286612
55.21666667,0.15245915,0.15245915,0.05286451
55.23333333,0.15244028,0.15244028,0.05286290
55.25000000,0.15242142,0.15242142,0.05286129
55.26666667,0.15240258,0.15240258,0.05285969
55.28333333,0.15238374,0.15238374,0.05285808
55.30000000,0.15236492,0.15236492,0.05285648
55.31666667,0.15234611,0.15234611,0.05285488
55.33333333,0.15232730,0.15232730,0.05285328
55.35000000,0.15230851,0.15230851,0.05285168
55.36666667,0.15228973,0.15228973,0.05285008
55.38333333,0.15227096,0.15227096,0.05284848
55.40000000,0.15225221,0.15225221,0.05284689
55.41666667,0.15223346,0.15223346,0.05284530
55.43333333,0.15221472,0.15221472,0.05284370
55.45000000,0.15219600,0.15219600,0.05284211
55.46666667,0.15217728,0.15217728,0.05284053
55.48333333,0.15215858,0.15215858,0.05283894
55.50000000,0.15213988,0.15213988,0.05283735
55.51666667,0.15212120,0.15212120,0.05283577
55.53333333,0.15210253,0.15210253,0.05283419
55.55000000,0.15208387,0.15208387,0.05283260
55.56666667,0.15206522,0.15206522,0.05283102
55.58333333,0.15204658,0.15204658,0.05282945
55.60000000,0.15202795,0.15202795,0.05282787
55.61666667,0.15200933,0.15200933,0.05282629
55.63333333,0.15199073,0.15199073,0.05282472
55.65000000,0.15197213,0.15197213,0.05282315
55.66666667,0.15195355,0.15195355,0.05282158
55.68333333,0.15193497,0.15193497,0.05282001
55.70000000,0.15191641,0.15191641,0.05281844
55.71666667,0.15189785,0.15189785,0.05281687
55.73333333,0.15187931,0.15187931,0.05281531
55.75000000,0.15186078,0.15186078,0.05281374
55.76666667,0.15184226,0.15184226,0.05281218
55.78333333,0.15182375,0.15182375,0.05281062
55.80000000,0.15180525,0.15180525,0.05280906
55.81666667,0.15178676,0.15178676,0.05280750
55.83333333,0.15176828,0.15176828,0.05280595
55.85000000,0.15174981,0.15174981,0.05280439
55.86666667,0.15173135,0.15173135,0.05280284
55.88333333,0.15171290,0.15171290,0.05280128
55.90000000,0.15169447,0.15169447,0.05279973
55.91666667,0.15167604,0.15167604,0.05279818
55.93333333,0.15165763,0.15165763,0.05279664
55.95000000,0.15163922,0.15163922,0.05279509
55.96666667,0.15162083,0.15162083,0.05279354
55.98333333,0.15160244,0.15160244,0.05279200
56.00000000,0.15158407,0.15158407,0.05279046
56.01666667,0.15156571,0.15156571,0.05278892
56.03333333,0.15154735,0.15154735,0.05278738
56.05000000,0.15152901,0.15152901,0.05278584
56.06666667,0.15151068,0.15151068,0.05278430
56.08333333,0.15149236,0.15149236,0.05278277
56.10000000,0.15147405,0.15147405,0.05278123
56.11666667,0.15145575,0.15145575,0.05277970
56.13333333,0.15143746,0.15143746,0.05277817
56.15000000,0.15141918,0.15141918,0.05277664
56.16666667,0.15140091,0.15140091,0.05277511
56.18333333,0.15138265,0.15138265,0.05277359
56.20000000,0.15136441,0.15136441,0.05277206
56.21666667,0.15134617,0.15134617,0.05277054
56.23333333,0.15132794,0.15132794,0.05276901
56.25000000,0.15130972,0.15130972,0.05276749
56.26666667,0.15129152,0.15129152,0.05276597
56.28333333,0.15127332,0.15127332,0.05276445
56.30000000,0.15125514,0.15125514,0.05276294
56.31666667,0.15123696,0.15123696,0.05276142
56.33333333,0.15121880,0.15121880,0.05275991
56.35000000,0.15120064,0.15120064,0.05275839
56.36666667,0.15118250,0.15118250,0.05275688
56.38333333,0.15116436,0.15116436,0.05275537
56.40000000,0.15114624,0.15114624,0.05275386
56.41666667,0.15112812,0.15112812,0.05275236
56.43333333,0.15111002,0.15111002,0.05275085
56.45000000,0.15109193,0.15109193,0.05274934
56.46666667,0.15107384,0.15107384,0.05274784
56.48333333,0.15105577,0.15105577,0.05274634
56.50000000,0.15103771,0.15103771,0.05274484
56.51666667,0.15101966,0.15101966,0.05274334
56.53333333,0.15100162,0.15100162,0.05274184
56.55000000,0.15098358,0.15098358,0.05274034
56.56666667,0.15096556,0.15096556,0.05273885
56.58333333,0.15094755,0.15094755,0.05273736
56.60000000,0.15092955,0.15092955,0.05273586
56.61666667,0.15091156,0.15091156,0.05273437
56.63333333,0.15089358,0.15089358,0.05273288
56.65000000,0.15087561,0.15087561,0.05273139
56.66666667,0.15085764,0.15085764,0.05272991
56.68333333,0.15083969,0.15083969,0.05272842
56.70000000,0.15082175,0.15082175,0.05272694
56.71666667,0.15080382,0.15080382,0.05272545
56.73333333,0.15078590,0.15078590,0.05272397
56.75000000,0.15076799,0.15076799,0.05272249
56.76666667,0.15075009,0.15075009,0.05272101
56.78333333,0.15073220,0.15073220,0.05271954
56.80000000,0.15071432,0.15071432,0.05271806
56.81666667,0.15069645,0.15069645,0.05271658
56.83333333,0.15067859,0.15067859,0.05271511
56.85000000,0.15066074,0.15066074,0.05271364
56.86666667,0.15064290,0.15064290,0.05271217
56.88333333,0.15062507,0.15062507,0.05271070
56.90000000,0.15060725,0.15060725,0.05270923
56.91666667,0.15058944,0.15058944,0.05270776
56.93333333,0.15057164,0.15057164,0.05270630
56.95000000,0.15055385,0.15055385,0.05270483
56.96666667,0.15053607,0.15053607,0.05270337
56.98333333,0.15051830,0.15051830,0.05270191
57.00000000,0.15050054,0.15050054,0.05270045
57.01666667,0.15048279,0.15048279,0.05269899
57.03333333,0.15046505,0.15046505,0.05269753
57.05000000,0.15044732,0.15044732,0.05269607
57.06666667,0.15042960,0.15042960,0.05269462
57.08333333,0.15041189,0.15041189,0.05269316
57.10000000,0.15039419,0.15039419,0.05269171
57.11666667,0.15037650,0.15037650,0.05269026
57.13333333,0.15035882,0.15035882,0.05268881
57.15000000,0.15034115,0.15034115,0.05268736
57.16666667,0.15032349,0.15032349,0.05268591
57.18333333,0.15030583,0.15030583,0.05268447
57.20000000,0.15028819,0.15028819,0.05268302
57.21666667,0.15027056,0.15027056,0.05268158
57.23333333,0.15025294,0.15025294,0.05268014
57.25000000,0.15023533,0.15023533,0.05267870
57.26666667,0.15021772,0.15021772,0.05267726
57.28333333,0.15020013,0.15020013,0.05267582
57.30000000,0.15018255,0.15018255,0.05267438
57.31666667,0.15016498,0.15016498,0.05267295
57.33333333,0.15014741,0.15014741,0.05267151
57.35000000,0.15012986,0.15012986,0.05267008
57.36666667,0.15011232,0.15011232,0.05266865
57.38333333,0.15009478,0.15009478,0.05266722
57.40000000,0.15007726,0.15007726,0.05266579
57.41666667,0.15005974,0.15005974,0.05266436
57.43333333,0.15004224,0.15004224,0.05266293
57.45000000,0.15002474,0.15002474,0.05266151
57.46666667,0.15000726,0.15000726,0.05266008
57.48333333,0.14998978,0.14998978,0.05265866
