时间/h,到中心距离/cm,温度/℃,水分浓度/(kg/kg)
0.00000000,0.97449963,28.00000000,2.55000000
0.00000000,0.98199414,28.00000000,2.55000000
0.00000000,0.98947029,28.00000000,2.55000000
0.00000000,0.99692806,28.00000000,2.55000000
0.00000000,1.00436739,28.00000000,2.55000000
0.00000000,1.01178823,28.00000000,2.55000000
0.00000000,1.01919055,28.00000000,2.55000000
0.00000000,1.02657429,28.00000000,2.55000000
0.00000000,1.03393941,28.00000000,2.55000000
0.00000000,1.04128585,28.00000000,2.55000000
0.00000000,1.04861359,28.00000000,2.55000000
0.00000000,1.05592255,28.00000000,2.55000000
0.00000000,1.06321271,28.00000000,2.55000000
0.00000000,1.07048400,28.00000000,2.55000000
0.00000000,1.07773638,28.00000000,2.55000000
0.00000000,1.08496980,28.00000000,2.55000000
0.00000000,1.09218421,28.00000000,2.55000000
0.00000000,1.09937955,28.00000000,2.55000000
0.00000000,1.10655579,28.00000000,2.55000000
0.00000000,1.11371287,28.00000000,2.55000000
0.00000000,1.12085073,28.00000000,2.55000000
0.00000000,1.12796932,28.00000000,2.55000000
0.00000000,1.13506860,28.00000000,2.55000000
0.00000000,1.14214851,28.00000000,2.55000000
0.00000000,1.14920899,28.00000000,2.55000000
0.00000000,1.15625000,28.00000000,2.55000000
0.00000000,1.16327148,28.00000000,2.55000000
0.00000000,1.17027336,28.00000000,2.55000000
0.00000000,1.17725561,28.00000000,2.55000000
0.00000000,1.18421817,28.00000000,2.55000000
0.00000000,1.19116097,28.00000000,2.55000000
0.00000000,1.19808396,28.00000000,2.55000000
0.00000000,1.20498709,28.00000000,2.55000000
0.00000000,1.21187029,28.00000000,2.55000000
0.00000000,1.21873352,28.00000000,2.55000000
0.00000000,1.22557670,28.00000000,2.55000000
0.00000000,1.23239979,28.00000000,2.55000000
0.00000000,1.23920272,28.00000000,2.55000000
0.00000000,1.24598544,28.00000000,2.55000000
0.00000000,1.25274787,28.00000000,2.55000000
0.00000000,1.25948997,28.00000000,2.55000000
