时间/s,r=0 cm,r=0.5 cm,r=1 cm,r=1.5 cm,r=2 cm
100.00000000,28.00005341,28.00034755,28.00404601,28.03270179,28.18006467
300.00000000,28.04079134,28.06348819,28.15139454,28.36806457,28.84883360
600.00000000,28.45333081,28.53603128,28.80394424,29.31591739,30.16539461
900.00000000,29.32430208,29.45825978,29.87546648,30.61615276,31.73049728
1200.00000000,30.54273429,30.70978475,31.22236745,32.11258115,33.42763105
1500.00000000,31.99573774,32.18675142,32.76603698,33.74628570,35.12026827
1800.00000000,33.57535380,33.77200984,34.36416690,35.36212713,36.78555646
