时间/h,r=0 cm,r=0.5 cm,r=1 cm,r=1.5 cm,r=2 cm
0.50000000,32.18925029,32.38212092,32.96594910,33.96078653,35.41303331
1.00000000,40.38155604,40.55355582,41.06047538,41.87821553,42.99759097
1.50000000,45.84676996,45.93482373,46.19298087,46.60511525,47.14012415
2.00000000,48.45026306,48.48808668,48.59846665,48.77356866,49.00338190
2.50000000,49.46702455,49.47926353,49.51369059,49.56537299,49.66093356
3.00000000,49.84949561,49.85534258,49.87461918,49.91016249,49.96642976
